fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,July,17,MADHYA PRADESH,1702,BHIND,798213,243.721519538866,25,41,0,880,47,8742,456961,67614,18755,1791,209,178.5175,1292.2297929,18215,19792,74757,100861,0,165439,271620,9622,1113.7122929,186998,45,60.87,82.58,100.03,NA
2025-2026,July,17,MADHYA PRADESH,1705,SHIVPURI,2999323,253.316409297712,30,444,2108.0173387,6192,0,44187,2908328,462951,58437,532902,72060,464.29584,9939.58523889997,96136,127385,207053,356753,91,346148,634344,50379,7367.27206019997,1142238,85,48.52,69.25,100.17,NA
2025-2026,July,17,MADHYA PRADESH,1709,PANNA,1844706,253.292089114862,37,309,1178.600713324,1877,0,15735,1932158,314067,44366,291756,37845,370.67532,6443.27939652394,50946,77399,110718,231198,88,175904,356870,17612,4894.00336319994,774287,73,60.22,81.75,100.01,NA
2025-2026,July,17,MADHYA PRADESH,1716,MANDSAUR,1575843,256.73063435393,32,200,1460.245721518,2250,0,24028,1627057,312562,41050,52560,9123,331.70312,5969.10259891801,49350,71338,96968,206831,42,176403,365877,26278,4177.15375740002,607553,77,28.33,69.89,100.01,NA
2025-2026,July,17,MADHYA PRADESH,1718,UJJAIN,1629384,241.915357706991,33,417,329.064975985,1210,0,23998,1519400,547552,66819,103951,15490,529.60168,4534.32860098502,46013,71048,83208,196393,76,160133,375364,25208,3675.66194500002,579804,85,37.21,58.3,100.69,NA
2025-2026,July,17,MADHYA PRADESH,1725,KHANDWA,1781277,260.126182292148,31,722,1393.376487119,3230,1,23349,2201148,161641,25822,702795,109446,370.60748,7489.74622611897,70959,126074,130832,325482,288,198614,470456,26579,5725.76225899997,974762,84,52.91,87.85,100.01,NA
2025-2026,July,17,MADHYA PRADESH,1744,KATNI ,1920998,224.642990213266,25,373,1202.28958385,1754,0,10666,1511638,216383,45587,422288,82207,337.71738,4935.79576825001,58661,83334,133930,286034,85,174705,369901,12420,3395.78880440002,826358,67,74.59,88.07,100,NA
2025-2026,July,17,MADHYA PRADESH,1714,SHAHDOL,1951630,218.225633376679,29,1333,1586.759764653,1848,1,17756,1747783,230202,35037,980204,133279,323.84794,5724.71822645292,59044,91061,121062,240990,178,161272,301961,19604,3814.11052179992,893253,80,73.48,81.82,100.01,NA
2025-2026,July,17,MADHYA PRADESH,1718,UJJAIN,1629384,240.990277007472,34,424,426.089815185,1458,0,26163,1617682,587287,67369,112509,15712,529.60168,4854.14782808501,46809,72493,83728,197864,84,160345,376291,27621,3898.45633290001,618068,86,35.87,55.89,100.71,NA
2025-2026,July,17,MADHYA PRADESH,1723,INDORE,365352,246.446371217039,34,69,214.981087253,1116,2,9952,545406,110685,12653,145057,17010,279.00547,1838.119852653,15721,21423,36224,71235,12,71152,137051,11068,1344.1332954,197730,75,39.92,56.23,100.39,NA
2025-2026,July,17,MADHYA PRADESH,1724,KHARGONE,3263588,256.500539340075,34,554,2436.29268912499,6603,0,36840,2778655,283508,41022,1413318,183578,541.50467,10105.062420525,81568,122462,183835,367489,196,295927,585779,43443,7127.26506139997,1101623,86,36.49,65.84,100.11,NA
2025-2026,July,17,MADHYA PRADESH,1725,KHANDWA,1781277,259.559441080072,31,730,1393.731447119,3330,1,24472,2279772,169061,25866,728439,109558,370.60748,7681.70238821897,71876,127911,130961,325795,329,198688,470705,27802,5917.36346109997,1009713,84,51.67,86.43,100.01,NA
2025-2026,July,17,MADHYA PRADESH,1728,BHOPAL,855459,240.004707122035,33,134,717.003308121,982,0,9205,756834,113980,12006,33479,3815,187.03496,2720.47549322098,22756,30212,44674,73242,32,74735,122530,10187,1816.43722509999,292310,79,52.01,69.84,100.79,NA
2025-2026,July,17,MADHYA PRADESH,1737,SEONI,4028788,224.529395786278,30,2288,1525.78916207,4456,0,23736,2998492,345966,57014,1365648,214103,569.88674,8828.17187236989,98768,162379,191318,461745,237,227335,537341,28192,6732.49597029989,1642642,74,67.55,84.05,100.07,NA
2025-2026,July,17,MADHYA PRADESH,1739,SHEOPUR,1204118,251.223621545295,33,244,1870.365044577,5227,0,19900,1582805,196644,20337,447550,50237,199.21187,6045.956957577,46581,61903,94382,159016,18,169835,279461,25127,3976.380043,637196,82,39.37,71.7,100.02,NA
2025-2026,July,17,MADHYA PRADESH,1745,DINDORI,4541403,232.266256805083,27,1399,1646.6987242,4205,1,21605,3738197,130275,14546,2104976,187422,328.9695,10658.2384680999,136831,200145,192913,359349,378,206976,380346,25810,8682.5702438999,2032073,72,46.04,84.53,100,NA
2025-2026,July,17,MADHYA PRADESH,1749,ALIRAJPUR,2111297,254.852468483232,34,1081,1436.1707012,2081,0,17388,1516891,207512,36741,1223691,194254,252.16693,5554.17178889999,43382,67996,104584,242842,394,147717,325697,19469,3865.83415769999,567862,84,43.3,82.24,100,NA
2025-2026,July,17,MADHYA PRADESH,1750,SINGRAULI,2085639,253.493720719879,33,694,1292.666945046,1963,0,16195,1977112,278217,34449,578729,68822,255.89169,6560.41340664522,58778,85445,122274,215819,77,179817,306701,18158,5011.85477159922,846977,77,53.81,85.97,100.52,NA
2025-2026,July,17,MADHYA PRADESH,1752,NIWARI,656069,258.858105788466,28,67,462.798901235,541,0,6753,429820,51329,7646,40983,7112,119.16285,1694.58566153499,14970,20708,36428,62152,4,51254,88412,7294,1112.62391029999,165812,71,39.57,81.24,100.12,NA
2025-2026,July,17,MADHYA PRADESH,1706,GUNA,1589794,255.233939932963,39,271,1292.410694824,3436,2,28004,2221152,285292,29585,359276,52101,375.4348,7336.97925632381,56830,77206,111760,236582,114,213024,441443,31440,5669.13376149981,755709,87,41.5,74.64,100.02,NA
2025-2026,July,17,MADHYA PRADESH,1713,REWA,1291690,232.774414722164,32,214,499.06644437,4781,0,24436,1857716,306553,47752,245418,42454,693.80226,5517.15625056999,57004,77167,146113,270445,82,260889,492226,29217,4324.2875462,727051,70,52.77,64.37,100.34,NA
2025-2026,July,17,MADHYA PRADESH,1723,INDORE,365352,244.974885339995,33,69,214.981087253,1094,2,9942,524420,106656,12612,136539,16982,277.75935,1777.437730953,15597,21229,36165,71114,10,71087,136929,11036,1284.6972937,190444,75,40.34,56.86,100.01,NA
2025-2026,July,17,MADHYA PRADESH,1728,BHOPAL,855459,238.417777712309,32,134,717.003308121,951,0,9221,746771,112260,11978,32835,3802,187.03496,2684.47309092099,22701,30135,44646,73159,31,74717,122464,10172,1780.43482279999,288099,79,52.24,70.22,100.23,NA
2025-2026,July,17,MADHYA PRADESH,1729,SEHORE,844344,249.103147359645,36,222,411.868517625,1861,0,19763,1345728,300824,33502,158807,20690,406.75975,4170.879070525,36899,56422,69072,134512,56,146445,277486,21624,3352.2508029,491639,83,47.41,65.52,100.19,NA
2025-2026,July,17,MADHYA PRADESH,1743,HARDA ,386681,253.93204338995,28,104,224.459184143,940,0,7495,410602,101877,18830,165890,30346,169.7698,1436.879032943,14469,23517,31223,73273,31,51390,115894,8435,1042.6500488,167404,79,38.34,59.89,100.01,NA
2025-2026,July,17,MADHYA PRADESH,1750,SINGRAULI,2085639,251.852995428688,33,693,1292.666945046,1879,0,15911,1949347,273567,34400,572241,68777,256.81469,6458.97044584526,58512,85043,122152,215624,71,179756,306561,17790,4909.48881079926,835070,76,54,86.32,100.01,NA
2025-2026,July,17,MADHYA PRADESH,1707,TIKAMGARH,1407905,257.177650795918,29,139,767.125275314,1486,0,16138,994324,165997,24040,69312,13852,308.45496,3632.759339814,34014,49051,78618,141813,4,132664,228953,17624,2557.1791045,373360,71,31.56,77.3,100.69,NA
2025-2026,July,17,MADHYA PRADESH,1713,REWA,1291690,232.964618054477,32,214,499.06644437,4815,0,24462,1867570,308125,47756,246721,42467,677.48646,5527.33022176999,57038,77215,146136,270491,84,260932,492301,29277,4350.77731739999,730235,70,52.52,64.07,100.49,NA
2025-2026,July,17,MADHYA PRADESH,1715,SIDHI,2203795,236.862297699459,34,285,829.698207652,2322,0,19203,2008052,268578,31560,571379,62375,314.51349,5900.52980385194,58744,82632,131626,211000,116,176040,278213,21525,4756.31810619994,914154,74,55.08,75.27,100,NA
2025-2026,July,17,MADHYA PRADESH,1716,MANDSAUR,1575843,257.168097625126,34,204,1472.739833618,2431,0,24379,1733775,331824,41162,56283,9139,330.84705,6262.30306821802,50155,72661,97180,207339,53,176620,366491,26810,4458.71618460002,646721,77,28.47,69.82,100.01,NA
2025-2026,July,17,MADHYA PRADESH,1719,SHAJAPUR,605659,257.902836258942,36,205,630.681983607,2180,1,13847,1057615,206133,23194,100242,13499,300.80671,3659.10777530701,28726,40649,61383,110662,48,114931,197699,16027,2727.61908170001,374330,82,47.08,61.65,101.1,NA
2025-2026,July,17,MADHYA PRADESH,1721,JHABUA,1987022,254.800653285016,28,1215,1390.527472732,3364,0,27595,1761467,63585,15166,1591710,294119,310.72221,6189.47910613196,61046,107535,150833,329242,92,217983,456726,30959,4488.22942339997,798409,79,39.45,77.44,101.12,NA
2025-2026,July,17,MADHYA PRADESH,1724,KHARGONE,3263588,256.341765144958,33,549,2436.29268912499,6267,0,36837,2715590,274892,40950,1382403,183492,541.50467,9938.98869922496,80939,121456,183660,367118,187,295808,585521,43104,6961.19134009997,1078521,86,36.38,66.14,100.1,NA
2025-2026,July,17,MADHYA PRADESH,1730,RAISEN,963507,251.689499770282,35,312,679.255291062,4402,0,20676,2104693,334218,27181,347819,28467,425.91264,6402.45921446215,58769,86856,89273,156657,244,172510,276571,25078,5297.29128340015,808315,85,66.19,79.31,100.13,NA
2025-2026,July,17,MADHYA PRADESH,1737,SEONI,4028788,224.493366497942,30,2282,1525.78916207,4133,0,23767,2990336,344800,57006,1362663,214090,570.46407,8809.3591880699,98632,162129,191313,461717,235,227258,537200,27900,6713.10595599989,1638686,74,67.75,84.29,100.07,NA
2025-2026,July,17,MADHYA PRADESH,1741,NEEMUCH,759218,259.613264973131,33,204,570.2718739,2250,0,10775,747706,93644,14088,64963,11002,171.28341,2682.6992429,22197,31314,48466,108891,23,93443,203656,13025,1941.143959,255746,80,48.05,72.27,100.01,NA
2025-2026,July,17,MADHYA PRADESH,1749,ALIRAJPUR,2111297,253.903030415929,34,1066,1411.5747554,1892,0,17438,1470874,200467,36742,1187958,194150,253.0899,5399.25831499999,42677,66839,104546,242744,365,147688,325621,19330,3734.59365959999,551005,84,42.71,82.06,100,NA
2025-2026,July,17,MADHYA PRADESH,1750,SINGRAULI,2085639,253.155812783554,33,693,1292.666945046,1916,0,16061,1957040,274711,34409,574512,68788,255.89169,6502.91915354526,58546,85101,122171,215670,71,179779,306617,17977,4954.36051849926,838144,76,54.01,86.26,100.33,NA
2025-2026,July,17,MADHYA PRADESH,1704,DATIA,688848,259.631051228053,31,70,396.7546426,905,1,7299,517119,130490,18288,8627,2842,214.64703,1954.00316839999,16446,20879,39962,69875,4,83496,149855,8204,1342.60149579999,181293,63,51.63,68.01,100,NA
2025-2026,July,17,MADHYA PRADESH,1705,SHIVPURI,2999323,252.588835339362,30,447,2111.0129387,6482,0,44624,2967637,472721,58539,555193,72350,465.55584,10072.4885141,96849,128443,207337,357301,92,346263,634596,51106,7495.91973539997,1165547,86,48.08,68.54,100.18,NA
2025-2026,July,17,MADHYA PRADESH,1719,SHAJAPUR,605659,254.530218475665,36,201,610.022704407,2072,1,13788,1037278,201854,23164,97891,13453,300.80671,3551.01537400701,28571,40403,61312,110521,44,114836,197483,15860,2640.18595960001,367656,82,47.23,61.94,100.04,NA
2025-2026,July,17,MADHYA PRADESH,1721,JHABUA,1987022,253.68297880706,28,1213,1390.527472732,2927,0,26983,1731992,62761,15164,1565093,293914,309.79636,6094.09273103197,60523,106557,150725,329016,89,217916,456601,29910,4393.76889829997,785488,79,39.51,77.82,100.89,NA
2025-2026,July,17,MADHYA PRADESH,1724,KHARGONE,3263588,256.477780779084,33,547,2435.47882812499,6054,0,36849,2659582,269822,40945,1357487,183262,541.68481,9798.40052972497,80320,120479,183492,366786,172,295686,585263,42903,6821.23689159998,1056862,86,36.14,65.97,100.1,NA
2025-2026,July,17,MADHYA PRADESH,1726,RAJGARH,2519171,257.6267715915,34,1013,3625.408132485,6138,1,24936,3567538,460398,56646,85442,10588,517.94876,13334.2898671849,102781,165023,188801,362705,244,284497,528208,31074,9190.93297469995,1478921,73,35.45,81.66,100.12,NA
2025-2026,July,17,MADHYA PRADESH,1729,SEHORE,844344,249.647683183254,36,220,393.461906685,1823,0,19779,1334961,298486,33495,157772,20682,406.75975,4132.920864585,36840,56327,69055,134481,56,146433,277441,21602,3332.6992079,487994,83,47.54,65.75,100.19,NA
2025-2026,July,17,MADHYA PRADESH,1746,ANUPPUR,2754292,210.58808883394,36,1724,452.316380594,3041,0,16426,2712229,242566,24521,1624422,144606,261.96388,6425.91147649388,73950,111615,126312,257025,579,162985,321448,19467,5711.63121589988,1365645,86,72.91,77.68,100.03,NA
2025-2026,July,17,MADHYA PRADESH,1749,ALIRAJPUR,2111297,254.588002525446,33,1054,1390.695828,1782,0,17457,1425490,194631,36714,1150872,193994,252.16693,5271.98927519999,42044,65737,104435,242537,196,147663,325564,19239,3629.12651719999,534385,84,42.65,82.11,100,NA
2025-2026,Aug,17,MADHYA PRADESH,1701,MORENA,4103516,257.336530661045,43,259,3945.907171975,1498,7,11610,6184181,728421,40917,74045,4571,385.86491,20245.9289171745,142510,151195,249460,309701,209,336672,421983,13108,15914.1568351995,2568190,32,54.28,95.5,100.01,NA
2025-2026,Aug,17,MADHYA PRADESH,1705,SHIVPURI,3183896,251.869905694825,31,465,2120.8072487,7466,0,44554,3116478,494362,58735,615082,73133,464.29584,10434.5732883,99037,131545,208047,358686,94,347385,638106,52020,7849.47019959997,1224679,86,46.69,66.39,100.32,NA
2025-2026,Aug,17,MADHYA PRADESH,1706,GUNA,1687628,255.107343862801,39,284,1292.410694824,3849,0,29140,2317241,299827,29846,387228,52884,375.68015,7579.54281082381,58656,79796,112750,238839,121,213239,442221,32989,5911.45196599981,786376,87,40.16,72.21,100.25,NA
2025-2026,Aug,17,MADHYA PRADESH,1711,DAMOH,2979862,260.572747745512,37,484,2068.708784574,2106,0,23996,3368063,463971,42260,503449,39784,408.35491,11253.3179994739,89545,116852,164477,278572,412,285977,467999,26102,8776.25430489994,1248016,70,63.71,82.85,101.23,NA
2025-2026,Aug,17,MADHYA PRADESH,1714,SHAHDOL,2071731,218.622748504932,29,1339,1587.046644653,1999,1,17523,1762802,231905,35054,990119,133310,323.84794,5764.78076775291,59258,91415,121089,241057,181,161304,302051,19522,3853.88618309991,900331,80,72.87,81.31,100.01,NA
2025-2026,Aug,17,MADHYA PRADESH,1717,RATLAM,1556018,239.213790207499,36,326,1134.831336013,3631,0,29291,1799540,478068,67644,555278,74496,391.51219,5831.09136631302,48841,75578,110691,245047,109,195252,408857,32922,4304.74784030002,705926,89,28.13,52.95,102.27,NA
2025-2026,Aug,17,MADHYA PRADESH,1722,DHAR,3497100,247.860140488294,38,1223,3734.961647554,7153,0,49741,3714402,340544,45305,2543588,303691,647.51012,13588.993783054,97212,150841,211174,447566,695,318586,660623,56894,9206.52201550001,1513433,82,39.06,64.09,100.02,NA
2025-2026,Aug,17,MADHYA PRADESH,1724,KHARGONE,3464425,256.234660690182,34,567,2436.39268912499,7394,0,36732,2884974,294873,41422,1465450,184873,542.61567,10371.311699025,82691,124187,184665,369978,244,303929,610726,44126,7392.30333989997,1141419,86,36.37,65.48,100.16,NA
2025-2026,Aug,17,MADHYA PRADESH,1725,KHANDWA,1890893,259.830208425433,32,735,1393.731447119,3409,1,24765,2320830,173431,25919,742500,109635,370.60748,7794.55635331897,72326,128758,131106,326196,357,198753,470915,28174,6030.21742619997,1028052,84,51.12,85.68,100.01,NA
2025-2026,Aug,17,MADHYA PRADESH,1746,ANUPPUR,2923787,210.672120032992,36,1729,473.549965726,3210,0,16365,2739830,245131,24532,1638807,144629,261.52152,6507.12943202591,74152,111999,126345,257084,598,163004,321490,19575,5772.05794629991,1378887,86,72.4,77.05,100.09,NA
2025-2026,Aug,17,MADHYA PRADESH,1752,NIWARI,696443,259.306808913376,28,67,470.171759435,592,0,6711,433730,51655,7637,41219,7090,119.16285,1714.02603173499,14997,20744,36416,62106,4,51272,88440,7303,1124.69142229999,167269,71,39.78,81.33,100.12,NA
2025-2026,Aug,17,MADHYA PRADESH,1702,BHIND,847335,245.835244870806,26,43,0,903,45,8880,496813,73856,18807,1955,209,178.5175,1399.8589551,18780,20411,74919,101131,0,165625,272049,9783,1221.3414551,204118,46,60.91,82.84,100.03,NA
2025-2026,Aug,17,MADHYA PRADESH,1717,RATLAM,1556018,239.29885087712,36,318,1134.831336013,3584,0,29279,1765155,468456,67520,545290,74402,391.51219,5750.33915721303,48397,74794,110508,244638,96,195159,408626,32863,4223.99563120003,692703,89,28.32,53.18,101.92,NA
2025-2026,Aug,17,MADHYA PRADESH,1732,NARMADAPURAM,741744,242.55532788005,32,170,160.0502768,1354,0,17542,695483,126232,19966,196978,31635,379.19704,2226.17838780001,21628,30603,48459,103031,45,104725,203732,18896,1686.93107100001,241793,77,39.77,52.41,100,NA
2025-2026,Aug,17,MADHYA PRADESH,1736,CHHINDWARA,4162123,249.473214377606,32,3121,3048.130080617,9262,0,30490,4131369,580351,88271,2210721,274592,681.89296,14036.682082717,125868,194734,228598,541092,686,292287,675644,39752,10306.6590421,2130916,82,48.31,75.3,100.65,NA
2025-2026,Aug,17,MADHYA PRADESH,1744,KATNI ,2039214,225.044478387669,26,375,1202.28958385,2056,0,10556,1551938,222102,45600,433221,82215,337.71738,5032.55774085002,59164,84112,133969,286139,95,174740,370006,12612,3492.55077700002,845897,67,73.62,87.32,100,NA
2025-2026,July,17,MADHYA PRADESH,1704,DATIA,688848,259.565206549621,31,70,396.9328426,962,1,7454,524305,132671,18302,8921,2842,214.64703,1972.49322879999,16488,20932,39977,69916,4,83525,149934,8416,1360.91335619999,183509,64,51.38,67.53,100,NA
2025-2026,July,17,MADHYA PRADESH,1706,GUNA,1589794,255.137320541383,39,278,1292.410694824,3692,1,28647,2267417,293483,29675,371121,52295,375.4348,7452.87247412381,57627,78327,112152,237417,116,213152,441934,32339,5785.02697929981,770412,87,40.75,73.5,100.2,NA
2025-2026,July,17,MADHYA PRADESH,1711,DAMOH,2807117,260.801169388876,37,480,2068.708784574,2048,0,23889,3303871,455086,42210,494032,39769,408.35491,11093.5978976739,89140,116266,164368,278337,389,285828,467756,25937,8616.53420309994,1225552,70,63.53,82.96,100.98,NA
2025-2026,July,17,MADHYA PRADESH,1712,SATNA,1816456,243.40474365118,32,261,928.015354916999,2870,1,19348,1569268,260310,43729,279501,46904,558.99322,5306.681327517,48300,67119,128273,235486,37,218388,396821,22218,3819.6727526,628009,68,59.31,73.37,100.93,NA
2025-2026,July,17,MADHYA PRADESH,1713,REWA,1291690,233.621707116984,33,215,499.06644437,4938,0,24522,1886965,312086,47760,249489,42475,678.96268,5586.38897006999,57137,77368,146163,270562,84,261097,492533,29460,4408.35984569999,736547,70,52.1,63.57,100.68,NA
2025-2026,July,17,MADHYA PRADESH,1714,SHAHDOL,1951630,218.370506797389,29,1333,1586.759764653,1854,1,17683,1750818,230723,35037,981937,133271,323.84794,5733.87784435292,59076,91116,121060,240988,180,161276,301978,19537,3823.27013969992,894629,80,73.42,81.7,100.01,NA
2025-2026,July,17,MADHYA PRADESH,1730,RAISEN,963507,252.138437441769,36,315,679.720712262,4525,0,20628,2119537,336902,27202,351111,28489,425.76916,6449.65734506215,58855,86984,89287,156727,247,172540,276687,25153,5344.16747280015,813270,85,65.95,79.04,100.14,NA
2025-2026,July,17,MADHYA PRADESH,1737,SEONI,4028788,224.537055147443,30,2289,1527.51441457,4601,0,23655,3005597,346825,57014,1369253,214104,569.88674,8846.08014796989,98872,162593,191321,461755,238,227341,537359,28256,6748.67899339989,1646394,74,67.42,83.94,100.07,NA
2025-2026,July,17,MADHYA PRADESH,1741,NEEMUCH,759218,258.910869600269,34,205,570.2718739,2525,0,10606,769043,96859,14144,66900,11043,171.28341,2732.6912028,22442,31703,48563,109185,23,93458,203739,13131,1991.1359189,262566,80,47.8,71.88,100.01,NA
2025-2026,July,17,MADHYA PRADESH,1742,BARWANI,1688003,243.536186166591,31,402,514.97081809,3348,0,26148,1388595,124895,31506,1077998,219536,361.32903,4258.03115238997,43415,72476,125017,290695,182,215541,476549,29496,3381.73130429997,587358,88,30.78,60.04,100.07,NA
2025-2026,July,17,MADHYA PRADESH,1743,HARDA ,386681,256.90993504885,29,105,229.911487143,998,0,7562,423857,105009,18863,171148,30384,169.7698,1488.612030543,14595,23751,31267,73414,31,51395,115916,8560,1088.9307434,172796,79,37.9,58.88,100.76,NA
2025-2026,July,17,MADHYA PRADESH,1745,DINDORI,4541403,232.149314933226,27,1400,1646.6987242,4247,1,21570,3744073,130340,14546,2108478,187427,328.9695,10667.5080442999,136895,200257,192917,359356,379,206982,380361,25817,8691.8398200999,2034844,72,45.99,84.44,100,NA
2025-2026,July,17,MADHYA PRADESH,1747,BURHANPUR,760459,253.671405690053,30,526,277.7030028,1421,0,9365,839922,153574,26314,382039,52969,128.27791,2536.6228569,27331,47339,52338,135240,110,90279,217762,10786,2130.6419441,406937,84,42.72,68.02,100,NA
2025-2026,July,17,MADHYA PRADESH,1749,ALIRAJPUR,2111297,255.277632703347,35,1083,1436.1707012,2093,0,17433,1524321,208122,36740,1230032,194328,252.16693,5579.58819479999,43490,68202,104615,242920,410,147726,325714,19526,3891.25056359999,570697,84,43.36,82.18,100,NA
2025-2026,July,17,MADHYA PRADESH,1750,SINGRAULI,2085639,253.56423230001,33,694,1292.666945046,1978,0,16236,1983099,278801,34449,580526,68841,255.89169,6576.98839014517,58823,85508,122291,215846,77,179833,306734,18214,5028.42975509917,849432,77,53.71,85.86,100.57,NA
2025-2026,July,17,MADHYA PRADESH,1752,NIWARI,656069,259.238548456009,28,67,462.798901235,544,0,6742,430638,51383,7645,41055,7112,119.16285,1698.34145153499,14988,20735,36424,62149,4,51255,88414,7286,1116.37970029999,166070,71,39.7,81.26,100.12,NA
2025-2026,Aug,17,MADHYA PRADESH,1705,SHIVPURI,3183896,252.458951631625,31,472,2120.8072487,7982,0,44165,3174533,502719,58855,638828,73472,464.29584,10599.4958197,99969,132895,208422,359402,97,347640,638696,52147,8014.39273099996,1246754,86,46.27,65.65,100.37,NA
2025-2026,Aug,17,MADHYA PRADESH,1707,TIKAMGARH,1494545,257.795814456174,29,140,771.657955314,1607,0,16315,1029816,174290,24180,72265,13924,308.45496,3734.935459914,34536,49803,78858,142444,9,134838,235054,17922,2654.8225446,385183,72,31.7,75.99,100.78,NA
2025-2026,Aug,17,MADHYA PRADESH,1713,REWA,1371178,233.958568122754,33,220,499.06644437,5350,0,24298,1931660,321615,47864,255933,42584,677.3911,5695.74162137,57456,77829,146449,271287,85,265170,503384,29648,4519.284077,750062,70,51.09,62.35,101.01,NA
2025-2026,Aug,17,MADHYA PRADESH,1714,SHAHDOL,2071731,218.711380006943,29,1339,1587.525554653,2084,1,17335,1776107,233385,35058,998371,133400,323.84794,5795.92162475291,59465,91727,121155,241161,184,161367,302152,19419,3884.54813009991,906903,80,72.63,81.29,100.01,NA
2025-2026,Aug,17,MADHYA PRADESH,1715,SIDHI,2339413,237.725151973348,34,286,838.612583752,2953,0,19116,2089873,282072,31713,593821,62674,332.31209,6139.07843905196,59835,84214,132095,211947,126,177743,282210,22069,4968.15376529996,949263,74,53.75,73.26,100,NA
2025-2026,Aug,17,MADHYA PRADESH,1719,SHAJAPUR,642930,258.678927154028,38,218,630.681983607,2922,1,13998,1154779,228941,23519,114810,13845,300.80671,3918.65862180701,30110,42788,62159,112233,61,115372,198822,16920,2987.16992820001,406834,83,45.6,59.47,101.29,NA
2025-2026,Aug,17,MADHYA PRADESH,1722,DHAR,3497100,248.70050532699,38,1259,3734.961647554,7817,0,49762,3860154,355299,45487,2647378,304601,647.51012,13982.694271954,99017,153874,211853,448989,765,318966,661528,57579,9600.2225044,1571434,82,38.54,63.17,100.02,NA
2025-2026,Aug,17,MADHYA PRADESH,1723,INDORE,387836,252.593932539621,36,70,214.981087253,1140,2,9942,581319,118932,12785,157296,17209,277.75935,1961.116959953,16040,21912,36444,71775,15,71807,138617,11082,1468.3765227,210871,75,39.11,54.68,102.38,NA
2025-2026,Aug,17,MADHYA PRADESH,1734,NARSINGHPUR,1178270,242.018558810525,38,86,396.28285985,2506,1,14914,1223871,219207,27121,214896,28676,338.02816,3696.30597574996,31897,45754,79139,148640,125,156649,276195,17420,2961.99495589996,435578,80,57.89,63.94,100.73,NA
2025-2026,Aug,17,MADHYA PRADESH,1739,SHEOPUR,1278217,251.561480090835,35,256,1870.365044577,5671,0,19405,1720489,208079,20372,491028,50696,199.21187,6397.664507777,48746,64956,94902,159923,23,170046,279927,25076,4328.0875932,695936,82,38.52,71.22,100.02,NA
2025-2026,Aug,17,MADHYA PRADESH,1741,NEEMUCH,805938,259.322646457513,35,210,570.9068739,2997,0,10417,821245,103747,14334,71879,11197,171.28341,2871.8645518,23225,32998,48936,110242,28,93533,204072,13414,2129.6742679,280221,80,47.33,70.63,100.03,NA
2025-2026,Aug,17,MADHYA PRADESH,1748,ASHOK NAGAR,1804329,263.130489352742,40,333,805.367641714,3051,0,22789,2045600,389489,30500,178926,16902,278.79161,6466.75654191369,50759,66691,90561,152557,51,157172,556020,25840,5382.59729019969,622988,86,53.75,74.93,100,NA
2025-2026,Aug,17,MADHYA PRADESH,1750,SINGRAULI,2213985,254.631103081671,34,697,1292.666945046,2171,0,16750,2028517,284710,34474,595322,68992,255.89169,6713.79384834522,59436,86372,122428,216102,86,180106,307225,18921,5165.23521329922,867650,77,53.25,85.05,100.85,NA
2025-2026,Aug,17,MADHYA PRADESH,1752,NIWARI,696443,258.99627963613,29,70,506.163611435,618,0,6693,437304,52133,7647,41593,7112,119.16285,1757.92755213498,15044,20816,36439,62177,4,51297,88486,7311,1132.60109069998,168642,71,39.77,81.04,100.12,NA
2025-2026,Aug,17,MADHYA PRADESH,1701,MORENA,4103516,258.243239682377,44,260,3945.907171975,1697,6,11494,6529174,765865,41013,79419,4603,386.01268,21193.0703140745,145148,153977,250411,310774,218,338555,424092,13191,16861.1504620995,2710159,32,54.61,95.58,100.01,NA
2025-2026,Aug,17,MADHYA PRADESH,1708,CHHATARPUR,2361837,253.410944792566,38,497,1235.424290449,8662,4,20298,2574925,404283,50403,144400,15553,534.12707,8294.69313064899,66676,92824,136413,261631,83,246189,461725,28960,6525.14177019999,843401,69,49.31,73.74,100.27,NA
2025-2026,Aug,17,MADHYA PRADESH,1713,REWA,1371178,234.62943005396,34,224,499.06644437,5627,0,24193,1978854,331376,48024,262697,42678,694.1211,5836.16140616999,58040,78622,146846,272023,87,265333,503737,29820,4642.97386179999,765347,71,49.94,60.96,101.17,NA
