fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,17,MADHYA PRADESH,1719,SHAJAPUR,186357,304.457484273973,9,20,0,243,19,7541,45625,9415,20249,3344,11149,44.22841,183.1371372,4682,5975,53810,95890,0,110294,187736,7784,138.9087272,15546,71,40.11,49.46,100,NA
2025-2026,April,17,MADHYA PRADESH,1721,JHABUA,611392,382.281512052322,10,67,3.2269176,690,68,16567,53973,1876,14871,49107,283442,74.85187,284.4075881,5304,8351,145485,317583,0,215684,451468,17257,206.3288005,23845,74,27.44,42.42,100,NA
2025-2026,April,17,MADHYA PRADESH,1725,KHANDWA,548085,275.771252247202,9,38,0,351,71,11863,51731,5115,24731,18870,104643,81.31204,223.9712665,5335,7688,124320,309626,0,197099,465400,12214,142.6592265,22659,67,28.88,51.81,100,NA
2025-2026,April,17,MADHYA PRADESH,1727,VIDISHA,463598,301.401939096767,9,17,4.2317245,810,97,19139,74643,15189,27367,5564,12954,113.98885,343.1960239,7830,8931,107469,162097,0,223136,324307,19949,224.9754494,22647,75,19.98,27.66,100,NA
2025-2026,April,17,MADHYA PRADESH,1729,SEHORE,259798,293.773335486163,10,13,0.44436,466,156,9584,30967,7910,27730,3712,17750,100.83371,192.2508588,2927,4123,57035,110973,0,136087,253538,10050,90.9727888,11509,68,26.14,32.04,100,NA
2025-2026,April,17,MADHYA PRADESH,1730,RAISEN,296464,286.965528082507,11,32,0,507,87,15873,76115,14369,21940,11618,23271,93.14402,311.5678317,6374,8269,71311,124561,0,157814,249796,16380,218.4238117,27655,79,13.4,12.55,100,NA
2025-2026,April,17,MADHYA PRADESH,1731,BETUL,760501,279.761419188978,8,128,14.1284779,422,139,13245,49789,7390,52445,23529,195374,95.84698,249.2658709,5918,8113,152038,365593,0,215505,491554,13667,139.290413,24056,61,49.51,52.9,100,NA
2025-2026,April,17,MADHYA PRADESH,1739,SHEOPUR,370498,333.56596108742,9,41,0,342,64,20175,75040,11753,19499,21954,46667,41.21321,291.5211072,7769,9876,89913,151254,0,167676,275105,20517,250.3078972,31030,82,22.65,58.21,100,NA
2025-2026,April,17,MADHYA PRADESH,1745,DINDORI,1397354,477.649610077604,7,138,0,414,25,13133,126538,2691,14319,79585,185292,54.60123,659.009493599999,17238,20989,191074,355384,0,205524,376998,13547,604.408263599999,66331,65,42.08,75.32,100,NA
2025-2026,April,17,MADHYA PRADESH,1702,BHIND,245604,379.847532783948,6,6,0,49,288,7640,13955,2889,17909,120,202,22.65692,75.6646432,2111,2262,72713,97572,0,163194,268531,7689,53.0077232,6051,33,18.32,54.4,100,NA
